	19453
fall	6674
he	6646
man	6572
hit	3930
person	2777
do	2695
jump	2673
they	2590
it	2448
she	2158
girl	1838
boy	1661
ride	1608
someone	1553
woman	1540
guy	1476
water	1260
ground	1242
be	1239
face	1236
go	1209
lose	1200
ball	1143
dog	1058
land	994
car	990
flip	962
run	954
get	933
him	928
kid	895
balance	869
bike	766
break	754
play	753
head	749
child	740
people	739
slide	698
walk	675
throw	664
slip	645
crash	622
one	596
drive	560
cat	552
hill	535
kick	501
catch	500
knock	483
end	478
make	467
trick	451
fly	437
stick	430
pull	423
take	423
swing	421
back	412
them	402
tree	399
pool	394
board	394
ramp	394
miss	393
truck	384
her	379
stand	373
table	360
come	360
hold	358
perform	352
use	352
skateboard	350
goal	341
bar	340
push	334
trip	332
floor	326
boat	324
top	323
drop	322
wall	318
something	314
control	310
pole	309
side	300
dance	295
lift	293
have	285
himself	282
snow	277
rope	276
put	263
!fall	259
backflip	257
road	255
fence	247
move	245
chair	238
attempt	230
sit	230
ice	227
trampoline	220
men	219
wave	219
climb	210
hurt	209
door	208
ski	205
turn	205
friend	205
race	204
spin	196
scare	195
baby	189
roll	185
bottle	184
bounce	182
camera	179
kids	175
show	175
air	174
weight	169
motorcycle	168
other	167
fire	167
try	166
weights	165
lady	163
grab	162
shoot	160
horse	160
fish	155
front	153
start	149
sand	148
drink	148
cause	145
vehicle	144
branch	143
landing	142
scooter	142
open	142
there	141
street	141
blow	139
window	136
way	136
fail	135
light	135
box	135
girls	134
look	131
bed	131
tricks	130
feet	130
film	129
rail	129
drone	129
rock	128
!land	127
driver	126
!hit	125
hoop	125
river	123
launch	123
spill	122
stairs	122
slam	118
!make	118
grip	118
video	117
group	116
hand	116
accident	114
women	114
!jump	113
wheel	113
machine	112
cut	112
room	112
cart	111
give	110
skier	109
cross	109
stop	108
set	108
roof	107
game	106
bird	106
dive	105
lake	105
basketball	104
railing	104
cake	104
house	103
handstand	102
guys	101
piece	100
eat	100
spray	99
hang	98
atv	98
ladder	98
food	98
rider	97
animal	97
!be	96
platform	96
flips	96
tip	95
biker	95
pass	94
glass	94
pick	94
carry	94
swinge	94
snowboard	93
bag	93
line	92
park	92
goat	92
edge	92
hole	92
drag	92
bottom	91
!get	90
chase	89
who	89
toy	88
pop	87
monkey	87
wind	87
surf	86
beach	86
explode	85
pants	85
sled	84
ups	83
ledge	82
step	80
bench	79
speed	79
time	79
attack	79
breaks	78
bat	78
smack	78
pour	77
want	76
hammock	76
crotch	75
collapse	75
dogs	75
grass	75
balls	75
groin	74
beam	74
foot	74
butt	73
toddler	73
footing	72
skate	72
body	72
friends	72
can	72
barrier	71
boys	71
bridge	71
bicycle	71
lean	70
send	70
gate	69
object	69
mess	69
hair	69
tumble	68
mountain	68
baseball	68
legs	68
beer	68
band	67
dock	66
crashes	66
smash	66
snowmobile	66
plant	65
bite	65
ceiling	65
puddle	65
toss	64
reach	64
bump	64
practice	64
cup	64
part	63
exercise	63
hoverboard	62
watch	62
couch	62
stage	61
leg	61
hose	61
gun	60
mat	60
leave	60
Do	59
children	59
tube	59
balloon	58
keep	58
picture	58
phone	58
pond	58
couple	58
work	58
dunk	57
routine	57
feed	57
see	56
stream	56
sle	56
pipe	56
hands	55
wipe	55
wheelie	55
cover	55
attach	55
lot	55
kayak	54
mud	54
seat	54
collide	54
mouth	54
canoe	52
stack	52
record	52
cliff	52
rocks	52
mirror	52
punch	52
pinata	52
gymnast	52
herself	51
pose	51
!see	51
cars	51
player	51
themselves	50
dirt	50
path	50
field	50
bowl	50
lay	50
shatter	49
flop	49
hurdle	49
snap	49
net	49
place	49
slope	49
scream	49
unicycle	48
i	48
shot	48
bunch	48
wedding	47
father	47
area	47
let	47
complete	47
crack	47
ocean	47
seal	47
block	46
strike	46
raft	46
!go	45
grind	45
wear	45
log	45
lands	44
bucket	44
motorbike	44
kitchen	44
course	44
train	44
skateboarder	44
trips	43
parachute	43
remove	43
kite	43
grill	43
treadmill	43
building	42
dad	42
waves	42
touch	42
thing	41
arm	41
vault	41
sleep	41
misjudge	41
skis	41
counter	41
snowboarder	40
help	40
tries	40
surfboard	40
gym	40
splash	40
highway	40
pet	40
press	40
sidewalk	40
momentum	40
slap	40
basket	39
steps	39
club	39
dump	39
obstacle	39
tire	39
trailer	39
daughter	38
wood	38
track	38
bring	38
yard	38
trees	38
elephant	38
float	37
fill	37
post	37
wheeler	37
another	37
belly	37
stomach	37
pitcher	37
!do	37
candle	37
deer	37
juggle	37
dress	36
wake	36
prank	36
cook	36
driveway	35
gymnastics	35
corner	35
device	35
sort	35
bride	35
say	35
surfer	35
knife	35
toilet	35
mom	35
sister	35
tower	34
feel	34
sign	34
!have	34
shelf	34
batter	34
bouquet	34
van	33
fling	33
startle	33
loose	33
desk	33
ring	33
wrong	33
!catch	33
parkour	32
glasses	32
motorcyclist	32
what	32
bull	32
fireworks	32
tow	32
leap	32
mask	32
son	32
equipment	32
talk	31
bars	31
burn	31
costume	31
force	31
laugh	31
shake	31
liquid	31
egg	31
forklift	31
handle	31
hop	31
injure	30
slips	30
spit	30
things	30
process	30
steal	30
attempts	30
lid	30
lizard	30
lane	29
tie	29
fun	29
rip	29
stumble	29
load	29
think	29
pile	29
plane	29
crowd	29
close	28
middle	28
half	28
jumps	28
curb	28
doorway	28
barbell	28
cats	28
lower	28
hallway	28
sword	28
neck	28
freak	28
football	28
traffic	28
moves	28
stunt	28
candles	28
puppy	28
bikes	28
laptop	28
!hold	27
nothing	27
raise	27
sheep	27
pancake	27
arms	27
garage	27
target	26
dirtbike	26
nunchucks	26
frisbee	26
position	26
paddle	26
deck	26
bus	26
pan	26
!crash	26
rest	26
everything	26
helicopter	26
!flip	26
male	26
stool	25
gap	25
!stop	25
direction	25
sing	25
shoulders	25
kart	25
fan	25
skater	25
chicken	25
hammer	25
yoga	25
cartwheel	25
cone	25
hamster	25
watermelon	25
ditch	24
chairs	24
follow	24
