	8251
he	6415
man	6099
person	2488
they	2478
she	2060
girl	1591
boy	1510
woman	1392
someone	1380
guy	1352
it	1171
dog	850
kid	774
people	655
child	585
car	549
cat	455
one	445
ball	420
goal	294
truck	239
men	210
kids	150
baby	149
lady	142
there	133
wave	129
girls	124
bike	118
water	117
boat	113
him	107
board	107
skier	103
driver	103
women	102
bar	101
friend	97
tree	96
face	95
rope	94
group	93
guys	92
biker	90
pole	86
bird	83
who	80
horse	79
table	78
head	76
vehicle	76
rider	75
jump	71
goat	70
animal	68
boys	68
monkey	66
weight	65
wind	65
something	65
chair	64
swing	63
them	62
branch	61
ice	61
fish	61
breaks	59
toddler	58
drone	58
ground	54
couple	51
gymnast	51
her	49
dogs	48
door	48
band	47
bottle	47
pants	47
feet	46
balance	45
stick	45
i	43
machine	43
trips	42
motorcycle	40
skateboarder	40
snowboarder	39
player	39
children	38
hoop	38
weights	38
wheel	37
skateboard	37
box	36
seal	36
ramp	35
friends	35
tries	34
fence	34
flip	33
cart	33
father	31
hill	31
trick	31
atv	31
what	30
basketball	30
piece	29
deer	29
motorcyclist	28
slips	27
glass	27
ski	27
bag	27
snow	27
roof	27
elephant	27
hair	27
foot	27
hand	27
side	26
fire	26
pitcher	26
ups	26
dad	25
cars	25
cake	25
ladder	25
top	25
video	25
daughter	24
attempts	24
trampoline	24
surfer	24
legs	24
mom	24
barrier	24
part	24
hammock	24
male	24
platform	23
nothing	23
wall	23
hose	23
force	23
bride	23
train	23
line	23
gate	23
window	22
waves	22
bunch	22
control	22
momentum	22
hole	21
slide	21
sled	21
puppy	21
teenager	21
bikers	21
balloon	21
hamster	21
flips	20
van	20
gun	20
tube	20
cats	20
scooter	20
attempt	20
crashes	19
bus	19
dolphin	19
bed	19
trailer	19
mother	19
object	19
toy	19
balls	18
beer	18
skater	18
groom	18
pinata	18
back	18
raft	18
thing	17
mirror	17
lands	17
other	17
plane	17
device	17
floor	17
skis	17
end	17
batter	17
runner	17
skiier	17
worker	17
rock	16
tire	16
two	16
air	16
handle	16
everyone	16
bicyclist	15
sheep	15
owner	15
canoe	15
jumps	15
bull	15
way	15
kitten	15
road	15
race	15
chicken	15
bridge	15
glasses	15
son	15
goose	15
camera	15
leg	15
family	15
stool	14
bounces	14
wood	14
front	14
phone	14
tower	14
sand	14
tank	14
mask	14
lid	14
snowmobile	14
baseball	14
lizard	14
grill	14
beam	13
egg	13
landing	13
adult	13
candle	13
kite	13
penguin	13
seat	13
house	13
arm	13
drink	12
crash	12
structure	12
kart	12
fireman	12
pancake	12
time	12
turn	12
pig	12
falls	12
everything	12
sister	12
female	12
stairs	12
liquid	12
fireworks	12
parachute	12
firework	12
building	11
dancer	11
pool	11
edge	11
cyclist	11
food	11
wheeler	11
arms	11
fan	11
crane	11
street	11
cups	11
ostrich	11
starts	11
trees	11
diver	11
cameraman	11
container	11
santa	11
officer	11
bands	11
llama	10
cord	10
riders	10
shark	10
costume	10
rocket	10
frisbee	10
couch	10
hat	10
speed	10
string	10
area	10
silo	10
team	10
current	10
bottom	10
somebody	10
rail	10
raccoon	10
land	10
helicopter	10
parents	10
mower	10
watermelon	10
somone	10
barbell	10
wire	9
rocks	9
kangaroo	9
brother	9
order	9
pallet	9
racer	9
semi	9
hammer	9
broom	9
hood	9
mud	9
players	9
tarp	9
net	9
boarder	9
item	9
lift	9
surfboard	9
chairs	9
duck	9
rod	9
cup	9
flames	8
body	8
cork	8
puddle	8
river	8
foam	8
catcher	8
pony	8
slides	8
pizza	8
ring	8
pieces	8
club	8
misses	8
grandma	8
pipe	8
sword	8
picture	8
runs	8
boards	8
belly	8
wife	8
cable	8
limb	8
lawnmower	8
engine	8
treadmill	8
lane	7
dirtbike	7
dude	7
middle	7
guitarist	7
cop	7
crab	7
bucket	7
strap	7
hands	7
motorbike	7
operator	7
steps	7
game	7
stand	7
light	7
forklift	7
himself	7
giraffe	7
jeep	7
cooler	7
ceiling	7
priest	7
pond	7
pillow	7
bump	7
position	7
crowd	7
bin	7
mattress	7
teams	7
drops	7
cap	7
tractor	7
laptop	7
dirt	7
shelf	7
snowboard	7
mat	7
cream	7
sort	7
velcro	7
toddlers	7
harness	7
bench	7
bear	7
blender	7
teacher	7
knife	7
block	6
others	6
lamb	6
tricycle	6
skiing	6
pallets	6
football	6
you	6
tumbles	6
wipers	6
tires	6
stuff	6
mobile	6
collapses	6
bridesmaid	6
moves	6
squirrel	6
traffic	6
log	6
referee	6
noise	6
fall	6
trash	6
room	6
horses	6
balloons	6
routine	6
suv	6
golfer	6
desk	6
leash	6
winds	6
mouse	6
press	6
zipline	6
things	6
lake	6
dress	6
ropes	6
carriage	6
frog	6
bowl	6
milk	6
ship	6
tongue	6
umbrella	6
movement	6
dentures	6
bouquet	6
jets	6
hit	5
parrot	5
barricade	5
bug	5
tiles	5
shed	5
tv	5
monkeys	5
pad	5
load	5
lion	5
trip	5
boxes	5
tunnel	5
toilet	5
quad	5
user	5
pelican	5
birds	5
teen	5
bars	5
cone	5
champagne	5
can	5
seals	5
grip	5
wedding	5
bat	5
lights	5
pan	5
rabbit	5
recoil	5
sunroof	5
tide	5
try	5
garage	5
roller	5
flowers	5
kayak	5
